#INFO_SAMPLING: PATH_EMBEDDINGS=/home/sharispe/Dropbox/dev/java/workspace/Conceptual-Annotator/resources/glove.6B//glove.6B.50d.txtCONCEPTUAL_SPACE=198 ; NB_SAMPLING_PER_SIZE=100000; AGGREGATION=MIN; SIZE_SAMPLING_SET=1-6 DATE=2017/04/19 18:01:13
>SAMPLING_SIZE=1
URI	NUMBER_NON_NULL_VALUES	PERCENT_NON_NULL_VALUES	SUM	AVERAGE	SUM_SQUARED_VALUES	AVERAGE_SQUARED	MIN_BEST_95	STANDARD_DEVIATION
http://graph/wordnet/02803656	100000	100.0	-17295.965934238448	-0.17295965934238447	3984.1024907291467	0.03984102490729147	-0.008690971925866969	0.09962921834209974
http://graph/wordnet/10518940	100000	100.0	-31536.07751159638	-0.31536077511596383	11079.52055332486	0.1107952055332486	-0.13701133192092285	0.10650252133873216
http://graph/wordnet/09784701	100000	100.0	-1979.103435324335	-0.01979103435324335	811.183351666774	0.00811183351666774	0.0	0.08786437546523894
http://graph/wordnet/02953692	100000	100.0	-23826.36843970474	-0.2382636843970474	6720.46643647399	0.0672046643647399	-0.07003446560497824	0.10215224452886042
http://graph/wordnet/07317454	100000	100.0	-35368.71094549158	-0.35368710945491577	13613.81256198284	0.1361381256198284	-0.17677716425567677	0.10508831631182819
http://graph/wordnet/10372030	100000	100.0	-17554.14069520226	-0.17554140695202258	4017.938728161135	0.04017938728161135	-0.014180011436098955	0.09677087230626655
http://graph/wordnet/09230176	100000	100.0	-31798.304970680332	-0.3179830497068033	11156.867543577857	0.11156867543577857	-0.14611553957273432	0.10225192191318085
http://graph/wordnet/05407190	100000	100.0	-30445.643001107	-0.30445643001107	10305.938098444181	0.10305938098444181	-0.13278585707462656	0.10181190111846584
http://graph/wordnet/15221372	100000	100.0	16993.20770497412	0.1699320770497412	3853.1836428443867	0.038531836428443864	0.0	0.09825948105910536
http://graph/wordnet/07499687	100000	100.0	-7706.977252084722	-0.07706977252084722	1533.8629430131953	0.015338629430131952	0.0	0.09694781892191703
http://graph/wordnet/07900542	100000	100.0	3993.2607859221544	0.03993260785922154	1235.529326603449	0.01235529326603449	0.0	0.10373369797513307
http://graph/wordnet/04125115	100000	100.0	-5870.045426932014	-0.05870045426932014	1088.5913641831835	0.010885913641831835	0.0	0.08625642185024422
http://graph/wordnet/06820056	100000	100.0	-8996.706481140764	-0.08996706481140763	2036.5376561015896	0.020365376561015894	0.0	0.11077591710401621
http://graph/wordnet/09381255	100000	100.0	-30848.246450136052	-0.3084824645013605	10690.041453154685	0.10690041453154685	-0.12453346279252327	0.10834659028651382
http://graph/wordnet/08893849	100000	100.0	-36822.98062003333	-0.36822980620033335	14820.07716148274	0.14820077161482742	-0.175046225662971	0.11228348694484142
http://graph/wordnet/04327264	100000	100.0	-11147.720219940978	-0.11147720219940979	2303.8006303542957	0.023038006303542958	0.0	0.10300893016304394
http://graph/wordnet/05722413	100000	100.0	-7824.727183761647	-0.07824727183761647	1532.5888968000265	0.015325888968000266	0.0	0.0959335885806969
http://graph/wordnet/04976072	100000	100.0	11242.250864015512	0.11242250864015511	2510.8674357378745	0.025108674357378746	0.0	0.11166850007245999
http://graph/wordnet/02474924	100000	100.0	-6828.305773805454	-0.06828305773805454	1420.7661110149095	0.014207661110149095	0.0	0.0976989515608566
http://graph/wordnet/10447768	100000	100.0	-19012.009481888887	-0.19012009481888886	4585.096679945742	0.04585096679945742	-0.02777289032908626	0.09851556397602423
http://graph/wordnet/02086723	100000	100.0	-30610.799722505246	-0.30610799722505244	10524.4398575459	0.105244398575459	-0.12048311452840181	0.10743506229498025
http://graph/wordnet/08293641	100000	100.0	-33583.953814040586	-0.33583953814040585	12358.209400796282	0.12358209400796283	-0.15644159437272978	0.10389368907494677
http://graph/wordnet/04094238	100000	100.0	-15633.144461964273	-0.15633144461964274	3392.4177540706255	0.03392417754070626	0.0	0.0973892035281213
http://graph/wordnet/08098545	100000	100.0	-23115.74067661249	-0.23115740676612492	6251.50823645953	0.0625150823645953	-0.0702841452633878	0.09529604221454091
http://graph/wordnet/10352098	100000	100.0	-31608.319554437985	-0.31608319554437986	11034.342762454364	0.11034342762454363	-0.14506660591306098	0.10215107008248593
http://graph/wordnet/06790941	100000	100.0	14654.283015350129	0.14654283015350128	3283.4031767044717	0.03283403176704472	0.0	0.1065796917693366
http://graph/wordnet/07765558	100000	100.0	-17894.83243212172	-0.17894832432121718	4188.331889948109	0.04188331889948109	-0.016730786065899395	0.09930164209170743
http://graph/wordnet/02441664	100000	100.0	-7273.632893285657	-0.07273632893285657	1552.041747942661	0.01552041747942661	0.0	0.10114269095094267
http://graph/wordnet/15080200	100000	100.0	-6606.167248401852	-0.06606167248401852	1448.0147873107692	0.014480147873107693	0.0	0.10057834409912485
http://graph/wordnet/03934354	100000	100.0	338.19645590239656	0.0033819645590239655	996.6234819963988	0.009966234819963988	0.0	0.09977372968715509
http://graph/wordnet/08196373	100000	100.0	-31244.06704098894	-0.3124406704098894	10776.950464974349	0.10776950464974348	-0.14139139575669687	0.10074885668613003
http://graph/wordnet/04466597	100000	100.0	-17531.213536224328	-0.17531213536224327	3926.4506381604456	0.039264506381604454	-0.0228068064927952	0.09235887383643732
http://graph/wordnet/07074002	100000	100.0	-26114.495785570805	-0.26114495785570807	7809.997508621976	0.07809997508621976	-0.09300438162864554	0.09951525547754078
http://graph/wordnet/03914323	100000	100.0	-16470.615510208932	-0.16470615510208933	3674.3330020378203	0.036743330020378204	-0.0032831960060035114	0.09805718990397745
http://graph/wordnet/07270666	100000	100.0	-6237.9823034165975	-0.062379823034165977	1477.0190480631222	0.014770190480631223	0.0	0.1043021963280609
http://graph/wordnet/01505702	100000	100.0	-29465.455128869442	-0.29465455128869444	9750.482865958165	0.09750482865958165	-0.11876444062423479	0.10336113420643074
http://graph/wordnet/15236602	100000	100.0	-36374.34208912223	-0.36374342089122225	14338.442598978274	0.14338442598978274	-0.18739936188483056	0.10523853737169618
http://graph/wordnet/05262259	100000	100.0	-27107.40829264679	-0.2710740829264679	8379.737745996354	0.08379737745996353	-0.09714900182434788	0.10156878962327913
